ENTRY,USCPI,CANEX,CANCPI,JAPANEX,JAPANCPI,SWEX,SWCPI
1974:01:00,117.293,0.992,121.077,299.685,135.294,3.364,127.774
1974:02:00,118.546,0.977,122.057,291.658,139.706,3.176,126.836
1974:03:00,119.799,0.972,123.528,287.949,140.294,3.079,127.431
1974:04:00,120.551,0.968,124.508,292.197,144.118,3.027,126.662
1974:05:00,121.805,0.962,126.959,291.43,144.706,2.917,128.886
1974:06:00,122.807,0.966,127.939,293.466,145.294,2.99,129.571
1974:07:00,123.559,0.976,128.92,296.374,148.235,2.964,129.999
1974:08:00,125.063,0.98,130.39,297.976,149.706,2.985,131.28
1974:09:00,126.817,0.986,131.371,299.909,151.765,2.997,133.415
1974:10:00,127.82,0.983,132.841,302.336,155.294,2.897,134.271
1974:11:00,129.073,0.987,133.822,302.545,156.471,2.75,136.149
1974:12:00,130.075,0.988,135.292,305.67,157.059,2.603,136.321
1975:01:00,131.078,0.995,135.292,304.636,158.824,2.528,137.09
1975:02:00,131.83,1,136.763,301.594,159.118,2.473,137.518
1975:03:00,132.331,1,137.253,300.518,160.588,2.483,138.033
1975:04:00,132.832,1.011,138.233,299.109,163.235,2.559,138.374
1975:05:00,133.083,1.029,139.704,299.004,164.118,2.51,139.399
1975:06:00,134.085,1.026,141.174,299.191,164.118,2.495,139.911
1975:07:00,135.338,1.031,143.135,294.641,164.706,2.614,139.655
1975:08:00,135.84,1.035,144.606,290.626,164.118,2.679,140.083
1975:09:00,136.842,1.026,145.096,287.361,167.647,2.71,140.593
1975:10:00,137.594,1.025,146.076,291.189,170.294,2.663,140.767
1975:11:00,138.596,1.014,147.547,295.165,169.706,2.654,141.193
1975:12:00,139.348,1.014,148.037,294.702,169.706,2.634,141.021
1976:01:00,139.85,1.007,148.527,291.052,172.647,2.603,141.792
1976:02:00,140.1,0.994,149.508,285.022,174.118,2.57,141.705
1976:03:00,140.351,0.986,149.998,280.226,174.412,2.566,141.449
1976:04:00,140.602,0.984,150.488,275.207,178.529,2.53,141.449
1976:05:00,141.353,0.98,151.468,277.426,179.412,2.487,141.193
1976:06:00,142.105,0.974,152.449,272.861,179.706,2.47,141.449
1976:07:00,142.857,0.972,153.429,264.863,180.882,2.485,141.705
1976:08:00,143.609,0.985,153.429,266.677,179.706,2.481,142.218
1976:09:00,144.361,0.975,154.409,266.77,184.118,2.473,141.877
1976:10:00,145.113,0.973,155.39,254.744,185.294,2.446,142.218
