Date,PE,ex,r,pg
1974-01-01,0.047958386,-0.141296441,1.748494624,1.154891177
1974-02-01,0.027755679,-0.166162938,-0.588779443,1.218029933
1974-03-01,0.015827108,-0.181304969,-0.568784648,1.179920176
1974-04-01,-0.170525144,-0.198404227,-2.686949153,1.126385694
1974-05-01,-0.186089661,-0.203675462,-3.534705882,1.07991357
1974-06-01,-0.18994323,-0.195550208,-5.461169102,1.081447948
1974-07-01,-0.277766059,-0.194077071,-6.470618557,1.050053426
1974-08-01,-0.312346393,-0.179625399,-4.91755102,1.055744616
1974-09-01,-0.312346393,-0.173872651,-5.677373737,1.042916174
1974-10-01,-0.304722604,-0.180592111,-3.695378486,1.070741352
1974-11-01,-0.313471566,-0.187906552,-2.786410256,1.003737429
1974-12-01,-0.311727886,-0.192654677,-1.44375,0.989492176
1975-01-01,-0.245635699,-0.2003008,-3.042325581,0.885923
1975-02-01,-0.242145294,-0.212372279,-2.192307692,0.838583458
1975-03-01,-0.236886737,-0.218404593,-2.158183556,0.82745604
1975-04-01,-0.247376343,-0.212885078,0.306969697,0.808037342
1975-05-01,-0.25430878,-0.217275088,-0.807735849,0.756795407
1975-06-01,-0.256034406,-0.214346275,0.086716698,0.726379288
1975-07-01,-0.267251606,-0.188800304,0.89635514,0.72938539
1975-08-01,-0.272349323,-0.178711688,1.235539033,0.809759008
1975-09-01,-0.279106106,-0.173203389,0.494074074,0.785407691
1975-10-01,-0.283482706,-0.175842631,-1.420073801,0.749205635
1975-11-01,-0.278453358,-0.177373365,-1.859449541,0.682935707
1975-12-01,-0.281809065,-0.175322528,-2.58919708,0.645112721
1976-01-01,-0.198488815,-0.185046662,-2.376376812,0.61942778
1976-02-01,-0.198488815,-0.19353366,-2.327207207,0.619927366
1976-03-01,-0.200156872,-0.194674742,-0.72450805,0.611662362
1976-04-01,-0.209724257,-0.194991176,-0.833950178,0.57873388
1976-05-01,-0.213019153,-0.19423148,0.244247788,0.599624364
1976-06-01,-0.218428593,-0.194103509,-0.939206349,0.612141469
1976-07-01,-0.218557922,-0.198918413,-1.085789474,0.596463725
1976-08-01,-0.214546176,-0.201412349,-1.853006993,0.54989569
1976-09-01,-0.221039705,-0.196023723,-1.17,0.550211805
1976-10-01,-0.200934249,-0.195587276,-0.606770294,0.498882916
1976-11-01,-0.202176971,-0.191670964,-0.060996564,0.439218466
1976-12-01,-0.209837798,-0.195300299,-1.12008547,0.452598956
1977-01-01,-0.16198135,-0.203032908,-2.194310051,0.492389237
1977-02-01,-0.171707728,-0.197195232,-2.800288625,0.475139208
1977-03-01,-0.179755574,-0.197083854,-2.145362563,0.455194507
1977-04-01,-0.194753226,-0.199825256,-1.490150754,0.411188966
1977-05-01,-0.199374065,-0.202130615,-1.706666667,0.373930231
1977-06-01,-0.194604275,-0.203659447,-0.950149254,0.34968925
1977-07-01,-0.184096562,-0.213509195,-0.750594059,0.315235025
1977-08-01,-0.182894508,-0.212154741,0.244098361,0.275538614
1977-09-01,-0.187164049,-0.213872635,0.58124183,0.288609676
1977-10-01,-0.188186224,-0.224574906,0.956747967,0.32167303
1977-11-01,-0.191564399,-0.231274028,0.274757282,0.407111221
1977-12-01,-0.197290991,-0.24680075,-1.026774194,0.452118111
1978-01-01,-0.19721427,-0.253924859,-0.622600321,0.458179661
1978-02-01,-0.210505362,-0.254934703,-0.56754386,0.499085007
1978-03-01,-0.219028151,-0.259697727,-1.316973059,0.559184775
1978-04-01,-0.2312046,-0.258768802,-1.911892744,0.591933806
1978-05-01,-0.230101773,-0.247705229,-2.367429467,0.577588552
1978-06-01,-0.229350318,-0.257054308,-1.357091757,0.54441887
1978-07-01,-0.233176007,-0.278478178,-1.645332303,0.48344721
1978-08-01,-0.231280768,-0.29875878,-2.122453988,0.442982809
1978-09-01,-0.238821078,-0.293425665,-1.906097561,0.438861887
1978-10-01,-0.246899806,-0.310937592,-1.087155825,0.451150729
1978-11-01,-0.229145949,-0.289860387,0.843898051,0.420207912
1978-12-01,-0.160174904,-0.286319371,1.341904762,0.377533841
1979-01-01,-0.076458519,-0.286209206,-0.117455621,0.401026821
1979-02-01,0.076442192,-0.276487256,-1.268235294,0.398658443
1979-03-01,0.120301751,-0.274214959,-1.030948905,0.410786784
1979-04-01,0.122346881,-0.263409612,0.211445087,0.407062988
1979-05-01,0.537585104,-0.251667353,1.014011461,0.410622922
1979-06-01,0.493784643,-0.249578126,-0.043840683,0.480375643
1979-07-01,0.455380871,-0.268143802,-1.494463277,0.512995662
1979-08-01,0.459795478,-0.263028852,-1.700196353,0.479609854
1979-09-01,0.504209644,-0.262693541,-1.422892907,0.476813243
1979-10-01,0.530174979,-0.252662584,0.145667125,0.47423778
1979-11-01,0.608413668,-0.240303898,-1.30686221,0.466739667
1979-12-01,0.58740986,-0.248105871,-2.554594595,0.462449658
1980-01-01,0.576377845,-0.256108706,-2.438502674,0.413030954
1980-02-01,0.515971747,-0.247155307,-2.463645971,0.42271442
1980-03-01,0.503543494,-0.216309037,0.597653194,0.406181162
1980-04-01,0.501152237,-0.208518548,-0.219354839,0.387897252
1980-05-01,0.508363766,-0.2405919,-3.633740458,0.407858575
1980-06-01,0.503654138,-0.255559767,0.529119497,0.417222524
1980-07-01,0.447109665,-0.265515473,2.067490637,0.471778113
1980-08-01,0.377583065,-0.257422659,3.697901235,0.505978504
1980-09-01,0.373372939,-0.264451777,-0.621089109,0.505083454
1980-10-01,0.474061499,-0.262495352,-1.172127921,0.505090759
1980-11-01,0.537795754,-0.246272493,0.088099878,0.546929806
1980-12-01,0.519016323,-0.236643537,3.92373494,0.513924343
1981-01-01,0.50862782,-0.246337117,5.484839094,0.527984739
1981-02-01,0.457325708,-0.2200269,7.722862191,0.500872052
1981-03-01,0.441636699,-0.218270242,5.865854801,0.497546041
1981-04-01,0.420083085,-0.201248307,4.84250291,0.508533932
1981-05-01,0.367093621,-0.17499773,6.114814815,0.485939381
1981-06-01,0.325424435,-0.154829677,1.856436782,0.47389034
1981-07-01,0.341437798,-0.133646739,1.738154897,0.465271699
1981-08-01,0.353429755,-0.118927694,1.063047404,0.417008996
1981-09-01,0.356190046,-0.138695675,4.455011136,0.373483346
1981-10-01,0.370933858,-0.146385254,5.601742007,0.334127397
1981-11-01,0.398221676,-0.163887628,5.63124183,0.323914148
1981-12-01,0.391894492,-0.166589813,5.638273616,0.259787931
1982-01-01,0.373621748,-0.156419193,6.658378378,0.242617024
1982-02-01,0.304030211,-0.128561758,9.609032258,0.211836851
1982-03-01,0.250625083,-0.106508807,6.677856377,0.21704859
1982-04-01,0.288851786,-0.10182671,5.876972281,0.218557809
1982-05-01,0.325608896,-0.11325821,2.718328009,0.204400455
1982-06-01,0.316573581,-0.071286368,4.022270327,0.162573601
1982-07-01,0.316647259,-0.056782487,4.2221174,0.138113666
1982-08-01,0.305606531,-0.040046199,4.101436004,0.093494999
1982-09-01,0.335609127,-0.035250313,4.610796277,0.073354022
1982-10-01,0.341987425,-0.034039383,6.886107106,-0.002144124
1982-11-01,0.317796916,-0.042477786,8.07,0.065750198
1982-12-01,0.263458502,-0.070060925,7.52974359,0.09311175
1983-01-01,0.237720923,-0.077486088,4.982302158,0.107951558
1983-02-01,0.191379317,-0.06903107,3.994773663,0.153860936
1983-03-01,0.168178951,-0.063763031,4.251639344,0.199972244
1983-04-01,0.207193589,-0.051376681,4.536530612,0.235811718
1983-05-01,0.193723644,-0.049309433,4.116680244,0.220107835
1983-06-01,0.209746223,-0.035830601,3.921845842,0.200680075
1983-07-01,0.205591256,-0.029356456,4.22661274,0.204092477
1983-08-01,0.206695465,-0.0157625,4.098064516,0.267023489
1983-09-01,0.18948371,-0.013845218,4.190380762,0.277487252
1983-10-01,0.173348897,-0.024715889,3.045594406,0.264469873
1983-11-01,0.156588298,-0.016625547,3.585870647,0.255595175
1983-12-01,0.139313443,-0.008498236,3.059405941,0.226988231
1984-01-01,0.138203682,-0.001835922,3.776847291,0.205057855
1984-02-01,0.140574715,-0.011250506,3.589017682,0.171018211
1984-03-01,0.142948396,-0.020837268,4.837073171,0.213322778
1984-04-01,0.142744246,-0.012582299,4.631634241,0.223306087
1984-05-01,0.138881014,0.005068303,4.79124031,0.209878007
1984-06-01,0.132744971,0.011981987,4.855535198,0.208028677
1984-07-01,0.098689348,0.037895443,5.124803074,0.192486627
1984-08-01,0.108242941,0.040397121,5.493923445,0.191120839
