symbol,date,price
ATNHPIUS31084Q,1975-01-01,20.34
ATNHPIUS31084Q,1975-04-01,21.33
ATNHPIUS31084Q,1975-07-01,21.52
ATNHPIUS31084Q,1975-10-01,22.7
ATNHPIUS31084Q,1976-01-01,23.95
ATNHPIUS31084Q,1976-04-01,25.42
ATNHPIUS31084Q,1976-07-01,26.8
ATNHPIUS31084Q,1976-10-01,27.52
ATNHPIUS31084Q,1977-01-01,28.69
ATNHPIUS31084Q,1977-04-01,30.98
ATNHPIUS31084Q,1977-07-01,33.22
ATNHPIUS31084Q,1977-10-01,34.67
ATNHPIUS31084Q,1978-01-01,35.85
ATNHPIUS31084Q,1978-04-01,37.56
ATNHPIUS31084Q,1978-07-01,39.1
ATNHPIUS31084Q,1978-10-01,40.75
ATNHPIUS31084Q,1979-01-01,42.45
ATNHPIUS31084Q,1979-04-01,44.79
ATNHPIUS31084Q,1979-07-01,46.76
ATNHPIUS31084Q,1979-10-01,48.78
ATNHPIUS31084Q,1980-01-01,50.68
ATNHPIUS31084Q,1980-04-01,52.49
ATNHPIUS31084Q,1980-07-01,54.54
ATNHPIUS31084Q,1980-10-01,55.33
ATNHPIUS31084Q,1981-01-01,55.76
ATNHPIUS31084Q,1981-04-01,57.12
ATNHPIUS31084Q,1981-07-01,59.03
ATNHPIUS31084Q,1981-10-01,59.48
ATNHPIUS31084Q,1982-01-01,58.91
ATNHPIUS31084Q,1982-04-01,58.99
ATNHPIUS31084Q,1982-07-01,58.15
ATNHPIUS31084Q,1982-10-01,59.64
ATNHPIUS31084Q,1983-01-01,60.31
ATNHPIUS31084Q,1983-04-01,60.43
ATNHPIUS31084Q,1983-07-01,60.77
ATNHPIUS31084Q,1983-10-01,60.87
ATNHPIUS31084Q,1984-01-01,62.01
ATNHPIUS31084Q,1984-04-01,62.04
ATNHPIUS31084Q,1984-07-01,62.8
ATNHPIUS31084Q,1984-10-01,63.28
ATNHPIUS31084Q,1985-01-01,64.22
ATNHPIUS31084Q,1985-04-01,65.23
ATNHPIUS31084Q,1985-07-01,66.71
ATNHPIUS31084Q,1985-10-01,67.57
ATNHPIUS31084Q,1986-01-01,68.26
ATNHPIUS31084Q,1986-04-01,69.6
ATNHPIUS31084Q,1986-07-01,71.39
ATNHPIUS31084Q,1986-10-01,73.35
ATNHPIUS31084Q,1987-01-01,75.88
ATNHPIUS31084Q,1987-04-01,78.18
ATNHPIUS31084Q,1987-07-01,81.47
ATNHPIUS31084Q,1987-10-01,84.87
ATNHPIUS31084Q,1988-01-01,88.72
ATNHPIUS31084Q,1988-04-01,93.16
ATNHPIUS31084Q,1988-07-01,98.5
ATNHPIUS31084Q,1988-10-01,104.91
ATNHPIUS31084Q,1989-01-01,110.35
ATNHPIUS31084Q,1989-04-01,116.47
ATNHPIUS31084Q,1989-07-01,122.39
ATNHPIUS31084Q,1989-10-01,125.95
ATNHPIUS31084Q,1990-01-01,127.04
ATNHPIUS31084Q,1990-04-01,126.95
ATNHPIUS31084Q,1990-07-01,127.06
ATNHPIUS31084Q,1990-10-01,125.32
ATNHPIUS31084Q,1991-01-01,125.21
ATNHPIUS31084Q,1991-04-01,123.6
ATNHPIUS31084Q,1991-07-01,123.35
ATNHPIUS31084Q,1991-10-01,124.61
ATNHPIUS31084Q,1992-01-01,124
ATNHPIUS31084Q,1992-04-01,122.34
ATNHPIUS31084Q,1992-07-01,121.45
ATNHPIUS31084Q,1992-10-01,119.81
ATNHPIUS31084Q,1993-01-01,117.03
ATNHPIUS31084Q,1993-04-01,115.11
ATNHPIUS31084Q,1993-07-01,113.26
ATNHPIUS31084Q,1993-10-01,111.85
ATNHPIUS31084Q,1994-01-01,110.36
ATNHPIUS31084Q,1994-04-01,105.66
ATNHPIUS31084Q,1994-07-01,103.47
ATNHPIUS31084Q,1994-10-01,101.16
ATNHPIUS31084Q,1995-01-01,100
ATNHPIUS31084Q,1995-04-01,100.96
ATNHPIUS31084Q,1995-07-01,102.72
